chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1194483	1221316	-0.239831	-0.185329	-0.110938	-0.076962
chr1	1213294	1235762	-0.177025	-0.103401	-0.079221	-0.046058
chr1	1222636	1242129	-0.013078	-0.007302	-0.006469	-0.005582
chr1	1235972	1249214	-0.048090	-0.037871	-0.030340	-0.021091
chr1	1242246	1255241	-0.134740	-0.134292	-0.101493	-0.064732
chr1	1249244	1262722	-0.100878	-0.092333	-0.077328	-0.043751
chr1	1255452	1278487	0.034126	0.015858	0.014384	0.008558
chr1	1262838	1286338	0.053941	0.018253	0.016698	0.012048
chr1	1278847	1303723	0.052228	0.024312	0.022062	0.022703
chr1	1286862	1312434	0.053993	0.025324	0.022976	0.021613
chr1	1303724	1324439	0.012058	0.004271	0.003885	0.004508
chr1	1312767	1339781	-0.043685	-0.015672	-0.013738	-0.018396
chr1	1324927	1348931	-0.095526	-0.045464	-0.037145	-0.023427
chr1	1339866	1354201	-0.076464	-0.051806	-0.043307	-0.028272
chr1	1349014	1372022	-0.072437	-0.057712	-0.049644	-0.043099
chr1	1354250	1388150	-0.066109	-0.057242	-0.046599	-0.023781
chr1	1373169	1396161	-0.038772	-0.030013	-0.023979	-0.009653
chr1	1388510	1437418	-0.071696	-0.052988	-0.040259	-0.021650
chr1	1396188	1452650	-0.084126	-0.046632	-0.037669	-0.034503
chr1	1437838	1463415	-0.074658	-0.040342	-0.034693	-0.030707
chr1	1452659	1486615	-0.058994	-0.037478	-0.030905	-0.021156
chr1	1463540	1504702	-0.082161	-0.059431	-0.045812	-0.034995
chr1	1486827	1517777	-0.104289	-0.076822	-0.057487	-0.053301
chr1	1505805	1530913	-0.026807	-0.020558	-0.015524	-0.013996
chr1	1518324	1543118	-0.041494	-0.026317	-0.021539	-0.022319
chr1	1531211	1548149	-0.076240	-0.043665	-0.037475	-0.045208
chr1	1543160	1562179	-0.050175	-0.020782	-0.018031	-0.021160
chr1	1548436	1583786	-0.032364	-0.010374	-0.009267	-0.012603
chr1	1563373	1590734	-0.024622	-0.012089	-0.010336	-0.009537
chr1	1583825	1594565	-0.037865	-0.021834	-0.018053	-0.008665
chr1	1590788	1603640	-0.048498	-0.019654	-0.017452	-0.007935
chr1	1595533	1614378	-0.108661	-0.059635	-0.048788	-0.029409
chr1	1605175	1632024	0.027277	0.014374	0.011930	0.011271
chr1	1614595	1638897	0.051620	0.022639	0.020007	0.041649
chr1	1632194	1661680	-0.067750	-0.029630	-0.026452	-0.048692
chr1	1642415	1669766	-0.032816	-0.013186	-0.011685	-0.024102
chr1	1661888	1686763	0.014742	0.004991	0.004574	-0.000533
chr1	1670354	1707129	0.035792	0.014506	0.013205	0.024654
chr1	1686802	1729145	0.072470	0.038396	0.033486	0.061005
chr1	1707258	1801524	0.106258	0.035854	0.031341	0.053022
chr1	1730610	1859601	0.042261	0.014001	0.011980	0.013293
chr1	1801746	1864615	-0.063678	-0.112110	-0.063389	-0.020437
chr1	1859632	1872868	-0.091052	-0.205521	-0.104305	-0.033589
chr1	1866635	1907275	-0.006023	-0.013495	-0.008520	-0.002408
chr1	1873428	1936092	0.006660	0.018336	0.012452	0.003373
chr1	1914371	1975887	-0.024547	-0.084491	-0.058052	-0.010519
chr1	1942535	1982917	-0.034465	-0.066968	-0.048722	-0.015074
chr1	1976950	1987546	0.009185	0.009364	0.007139	0.005924
chr1	1982928	1995329	0.049694	0.042858	0.033961	0.017473
chr1	1988342	1999749	-0.016616	-0.013187	-0.010884	-0.004975
chr1	1995444	2006618	-0.029943	-0.037897	-0.027477	-0.010620
chr1	1999764	2012253	0.074302	0.077335	0.058351	0.033440
chr1	2006695	2017266	0.135244	0.105186	0.088256	0.060241
chr1	2012254	2023930	0.012062	0.010367	0.008357	0.005306
chr1	2017309	2029047	0.004023	0.003324	0.002641	0.001878
chr1	2024092	2039040	0.028108	0.020864	0.015863	0.009610
chr1	2029071	2044616	-0.018340	-0.014464	-0.010099	-0.005716
chr1	2039427	2048472	0.026501	0.035062	0.024051	0.008527
chr1	2044640	2055556	-0.056770	-0.128379	-0.088183	-0.023679
chr1	2048523	2060777	-0.083231	-0.105935	-0.083264	-0.040397
chr1	2055937	2063067	0.098341	0.079450	0.066252	0.062252
chr1	2060789	2069624	0.184118	0.162266	0.135528	0.122767
chr1	2063472	2077272	0.104844	0.092810	0.081868	0.066840
chr1	2069629	2084547	0.024307	0.017467	0.015301	0.008634
chr1	2077507	2093763	0.023594	0.014264	0.012045	0.004814
chr1	2084729	2109753	-0.015186	-0.008205	-0.006936	-0.004503
chr1	2097998	2125141	0.035514	0.017650	0.014890	0.017372
chr1	2110168	2137716	0.059626	0.021905	0.019175	0.031348
chr1	2125147	2146356	0.024385	0.008681	0.007524	0.005377
chr1	2137922	2151559	0.013594	0.008918	0.006773	0.001809
chr1	2146385	2162440	0.023917	0.009715	0.008360	0.003406
chr1	2151732	2173612	0.065908	0.023082	0.020423	0.013993
chr1	2163969	2207430	0.104211	0.027041	0.024967	0.025518
chr1	2175970	2221360	0.029173	0.012976	0.011751	0.011101
chr1	2207498	2255868	0.035618	0.017152	0.015465	0.020576
chr1	2222121	2344944	0.116095	0.041378	0.037736	0.103356
chr1	2256073	2376076	0.100512	0.035038	0.031566	0.083300
chr1	2344954	2431981	0.033580	0.007825	0.007257	0.022633
chr1	2378859	2464249	0.041407	0.009866	0.009210	0.025751
chr1	2441246	2484158	0.088524	0.027707	0.025300	0.050844
chr1	2464334	2500505	0.019445	0.006527	0.005584	0.011355
chr1	2484771	2508863	0.126827	0.042288	0.037209	0.045577
chr1	2500604	2519055	0.160269	0.055590	0.050974	0.048789
chr1	2508924	2553121	0.007755	0.002595	0.002343	-0.001052
chr1	2519692	2569012	0.016025	0.007658	0.006449	0.005656
chr1	2553125	2577242	-0.039489	-0.023294	-0.019403	-0.017134
chr1	2569100	2586901	-0.020848	-0.012712	-0.010953	-0.012229
chr1	2577246	2594106	0.048054	0.033389	0.028148	0.022560
chr1	2587870	2599226	-0.001957	-0.003180	-0.002431	0.000397
chr1	2594108	2603475	0.030261	0.063324	0.048589	0.012188
chr1	2599236	2608042	0.069724	0.161960	0.105577	0.034871
chr1	2603543	2616423	0.054998	0.113935	0.073173	0.034447
chr1	2608083	2621415	0.039677	0.051907	0.039850	0.015329
chr1	2616501	2627921	0.029053	0.049882	0.033947	0.007201
chr1	2621431	2629475	0.055920	0.079776	0.058225	0.022733
chr1	2627922	2630889	0.125071	0.097299	0.081407	0.041863
chr1	2629714	2632132	0.026220	0.032661	0.023692	0.007861
chr1	2630911	2632819	0.027215	0.064584	0.040068	0.011720
chr1	2632136	2639697	0.010374	0.023892	0.014914	0.004544
chr1	2633054	2646139	-0.010900	-0.012123	-0.009295	-0.003622
chr1	2639745	2658899	0.051315	0.027337	0.023728	0.011046
chr1	2646188	2670941	-0.052728	-0.026605	-0.023072	-0.012770
chr1	2659842	2698175	-0.081984	-0.035284	-0.031025	-0.030517
chr1	2671357	2706955	-0.017663	-0.007520	-0.006368	-0.005380
chr1	2698329	2714679	0.037060	0.020647	0.016549	0.008504
chr1	2706963	2729785	-0.000538	-0.000221	-0.000195	-0.000125
chr1	2714744	2740936	0.010256	0.005520	0.004882	-0.000340
chr1	2729948	2750804	0.022473	0.018578	0.015770	0.003782
chr1	2741101	2763156	0.014095	0.008746	0.007518	0.003659
chr1	2750811	2775102	-0.027355	-0.014296	-0.012563	-0.008400
chr1	2763267	2796352	-0.037127	-0.017115	-0.014988	-0.011627
chr1	2776321	2805905	-0.011760	-0.005055	-0.004536	-0.006280
chr1	2797452	2812981	0.062541	0.029055	0.026890	0.025028
chr1	2806279	2833841	0.051544	0.022220	0.019097	0.020569
chr1	2812989	2844020	0.014208	0.007521	0.006411	0.007424
chr1	2834300	2850500	-0.039365	-0.026598	-0.021217	-0.009344
chr1	2844154	2862079	-0.063677	-0.029870	-0.023253	-0.011368
chr1	2850536	2872645	-0.046437	-0.029831	-0.024792	-0.014397
chr1	2865307	2883630	-0.069254	-0.031707	-0.028239	-0.017178
chr1	2872803	2889666	0.037270	0.016624	0.013843	0.006695
chr1	2883647	2900508	-0.006763	-0.005539	-0.004164	-0.001343
chr1	2890683	2907077	-0.029011	-0.025190	-0.020877	-0.006923
chr1	2900618	2921601	-0.066024	-0.070855	-0.055955	-0.024857
chr1	2907150	2929112	-0.080988	-0.066811	-0.052931	-0.036631
chr1	2921624	2933797	0.006518	0.003941	0.003252	0.002454
chr1	2929501	2938914	0.033039	0.024137	0.020445	0.016549
chr1	2933892	2945523	0.039385	0.028387	0.024350	0.022308
chr1	2938916	2955656	0.053347	0.023598	0.020606	0.018006
chr1	2946076	2969305	0.080189	0.019979	0.018073	0.011143
chr1	2955657	2984293	-0.053625	-0.017392	-0.014680	-0.008217
chr1	2970839	2993058	-0.073212	-0.039716	-0.031384	-0.012269
chr1	2984294	3003748	0.086257	0.060228	0.050548	0.014494
chr1	2993099	3016634	0.142696	0.089330	0.075773	0.020222
chr1	3004983	3029755	0.051101	0.033158	0.026931	0.010636
chr1	3016661	3040162	-0.072289	-0.071831	-0.053111	-0.029173
chr1	3030106	3051459	-0.043744	-0.032997	-0.027761	-0.013987
chr1	3041213	3062500	0.087083	0.067344	0.058845	0.033007
chr1	3051561	3077907	-0.012222	-0.010604	-0.008937	0.000625
chr1	3063652	3083516	-0.047078	-0.034918	-0.028892	-0.013504
chr1	3078203	3106892	0.017935	0.011623	0.009323	0.001968
chr1	3084279	3118876	-0.058879	-0.037072	-0.029728	-0.026212
chr1	3108994	3126353	-0.043254	-0.030926	-0.025260	-0.015176
chr1	3118953	3131127	-0.028355	-0.022395	-0.018217	-0.009696
chr1	3126586	3146141	-0.041393	-0.036201	-0.029299	-0.016330
chr1	3132190	3159454	-0.033117	-0.027675	-0.021874	-0.011518
chr1	3146199	3216861	-0.010638	-0.009759	-0.007478	-0.003374
chr1	3159462	3225827	-0.022693	-0.018728	-0.015501	-0.005724
chr1	3216992	3259214	-0.143778	-0.131983	-0.096302	-0.034105
chr1	3226322	3275791	-0.143700	-0.101977	-0.079876	-0.041152
chr1	3259522	3288605	-0.032575	-0.014834	-0.013550	-0.015144
chr1	3275977	3298113	-0.064200	-0.040510	-0.030649	-0.015932
chr1	3288607	3345913	-0.155511	-0.156680	-0.095255	-0.030335
chr1	3298488	3348305	-0.026749	-0.028969	-0.022108	-0.008473
chr1	3345915	3355917	0.075714	0.102646	0.081342	0.028166
chr1	3348352	3394765	0.059754	0.060645	0.049344	0.022242
chr1	3355953	3404467	0.027583	0.024661	0.019494	0.012020
chr1	3395868	3411726	0.036743	0.037662	0.026460	0.014255
chr1	3404744	3417136	0.046007	0.051649	0.035156	0.013925
chr1	3411945	3446468	0.050448	0.049908	0.037157	0.014335
chr1	3419117	3456365	-0.044399	-0.027746	-0.022059	-0.013337
chr1	3446488	3468913	-0.125128	-0.057183	-0.047961	-0.047105
chr1	3456671	3484875	-0.124446	-0.062486	-0.051197	-0.059767
chr1	3469646	3495654	-0.148148	-0.075684	-0.060654	-0.062389
chr1	3485616	3505768	0.041666	0.013825	0.012307	0.012679
chr1	3495710	3519740	0.024154	0.010361	0.009092	0.015317
chr1	3505801	3524253	-0.009116	-0.006610	-0.005622	-0.001106
chr1	3519880	3556007	0.020354	0.013389	0.011584	0.009259
chr1	3527434	3578484	-0.052355	-0.019744	-0.016935	-0.021836
chr1	3556031	3590510	-0.126446	-0.036846	-0.031952	-0.034809
chr1	3579003	3609938	-0.135282	-0.039414	-0.034020	-0.015327
chr1	3590787	3628732	-0.015570	-0.008136	-0.006821	-0.002945
chr1	3611070	3659449	0.067483	0.046091	0.040103	0.034249
chr1	3629420	3688889	0.080366	0.054677	0.047275	0.034143
chr1	3659661	3714100	0.007287	0.005475	0.004544	0.004728
chr1	3690799	3733308	0.002633	0.001576	0.001292	0.000938
chr1	3714137	3745290	0.014998	0.008741	0.007047	0.003912
chr1	3735677	3769087	0.029222	0.012965	0.011633	0.009732
chr1	3746571	3797844	0.013733	0.004518	0.004012	0.003263
chr1	3769095	3810183	0.024244	0.008770	0.007553	0.008066
chr1	3798044	3816728	0.058990	0.023113	0.020372	0.022387
chr1	3810342	3827894	-0.065413	-0.031964	-0.026450	-0.026871
chr1	3816744	3829183	-0.105919	-0.093251	-0.076788	-0.053426
chr1	3827938	3855561	-0.082044	-0.089679	-0.072279	-0.043384
chr1	3829192	3873601	0.003686	0.002307	0.001961	0.003369
chr1	3855823	3890113	0.030153	0.016621	0.014769	0.012907
chr1	3873725	3910881	0.045437	0.041027	0.035614	0.022090
chr1	3890238	3935304	0.033882	0.021542	0.019159	0.018215
chr1	3911242	3944079	0.005429	0.002170	0.001888	0.001444
chr1	3935327	3948800	0.104007	0.059338	0.048381	0.025091
chr1	3944104	3963007	0.043445	0.028719	0.024270	0.018217
chr1	3948867	4002861	-0.063629	-0.037629	-0.031095	-0.027193
chr1	3965921	4192907	-0.037205	-0.015678	-0.013297	-0.013201
chr1	4004557	4212118	0.100683	0.038260	0.033362	0.033235
chr1	4192908	4234589	-0.017910	-0.005822	-0.004940	-0.008971
chr1	4213893	4282363	-0.078914	-0.026994	-0.022431	-0.039126
chr1	4234689	4295775	-0.099692	-0.040092	-0.033705	-0.057956
chr1	4282395	4321962	-0.084912	-0.026913	-0.023954	-0.053061
chr1	4295865	4340901	-0.054615	-0.024409	-0.021215	-0.024253
chr1	4332955	4350358	-0.005038	-0.003572	-0.002949	-0.002408
chr1	4340978	4365960	0.054972	0.033591	0.028261	0.024406
chr1	4350416	4385344	0.055631	0.035790	0.030317	0.026106
chr1	4366164	4397488	0.033370	0.018500	0.016233	0.012998
chr1	4385360	4405935	-0.071246	-0.033636	-0.028757	-0.016799
chr1	4398553	4413771	-0.095141	-0.041817	-0.035994	-0.020051
chr1	4405969	4429489	-0.020410	-0.007320	-0.006455	-0.005392
chr1	4414100	4450437	0.001818	0.000521	0.000457	0.000723
chr1	4430233	4463241	-0.049741	-0.014764	-0.012781	-0.026096
chr1	4451014	4479511	0.179484	0.081973	0.062174	0.121084
chr1	4465328	4496648	0.188596	0.077243	0.059925	0.121136
chr1	4480120	4516641	-0.004867	-0.001367	-0.001230	-0.002006
chr1	4496941	4540918	-0.052485	-0.018647	-0.017025	-0.032070
chr1	4517276	4560674	-0.056925	-0.025715	-0.023417	-0.049026
chr1	4542374	4570634	0.089970	0.041104	0.036236	0.036108
chr1	4560828	4582512	0.136070	0.060309	0.050799	0.027121
chr1	4570777	4594951	0.027240	0.009368	0.008504	0.006954
chr1	4582652	4626054	-0.101566	-0.039355	-0.035721	-0.033974
chr1	4596308	4832063	-0.084875	-0.025413	-0.022055	-0.038504
chr1	4703579	4858643	-0.002680	-0.001068	-0.000916	-0.004965
chr1	4832503	4876628	-0.019083	-0.009586	-0.008530	-0.006349
chr1	4859641	4896836	0.002569	0.000693	0.000638	0.000702
chr1	4877198	4912847	-0.042281	-0.013634	-0.012017	-0.016493
chr1	4896885	4936489	-0.104673	-0.061437	-0.049371	-0.048461
chr1	4912916	4963646	-0.013401	-0.005067	-0.004305	-0.008399
chr1	4937645	4982216	-0.018807	-0.004827	-0.004267	-0.011188
chr1	4964384	5014479	-0.071516	-0.015729	-0.014347	-0.052298
chr1	4982556	5034281	0.016498	0.003580	0.003259	0.004878
chr1	5015186	5056802	0.086801	0.023432	0.020967	0.059818
chr1	5036130	5086731	0.044942	0.014947	0.013239	0.039288
chr1	5059839	5116479	-0.008534	-0.003458	-0.003090	-0.001020
chr1	5087178	5171467	0.039690	0.013679	0.012260	0.022965
chr1	5116600	5207197	0.054756	0.016957	0.015363	0.036306
chr1	5171858	5240177	-0.072113	-0.026821	-0.024049	-0.052961
chr1	5207825	5282699	-0.111701	-0.044590	-0.037552	-0.083757
chr1	5240296	5309716	-0.015715	-0.006476	-0.005549	-0.011393
chr1	5282710	5336886	-0.028132	-0.009846	-0.008774	-0.016609
chr1	5309719	5359642	-0.038605	-0.010387	-0.009342	-0.022590
chr1	5336927	5380123	0.046766	0.012343	0.011464	0.025453
chr1	5360783	5402660	0.035313	0.011166	0.010183	0.023801
chr1	5385880	5418051	-0.028007	-0.009750	-0.008264	-0.019892
chr1	5403130	5435602	-0.007710	-0.002800	-0.002379	0.001402
chr1	5418073	5461032	-0.015739	-0.005909	-0.005356	-0.005380
chr1	5436058	5481063	-0.001509	-0.000572	-0.000517	-0.001039
chr1	5462047	5504745	-0.008826	-0.003456	-0.003132	-0.005724
chr1	5481110	5530642	-0.075932	-0.027291	-0.024825	-0.043235
chr1	5505623	5557954	-0.093797	-0.032096	-0.028320	-0.060961
chr1	5530940	5586425	-0.101391	-0.030018	-0.026540	-0.097313
chr1	5558055	5620994	-0.053109	-0.013335	-0.011848	-0.052462
chr1	5587881	5634494	0.021723	0.006614	0.005819	0.017148
chr1	5621089	5644144	0.046540	0.019063	0.017272	0.016264
chr1	5634904	5662632	0.016735	0.005450	0.005024	-0.001524
chr1	5646903	5668973	-0.003139	-0.000979	-0.000881	-0.000304
chr1	5662996	5778854	0.007455	0.002110	0.001880	-0.001296
chr1	5669056	5842007	0.064755	0.019401	0.017718	0.024876
chr1	5779055	5868182	0.008970	0.003254	0.002857	0.003532
chr1	5843589	5884232	-0.077434	-0.039742	-0.032967	-0.031315
chr1	5868314	5899718	-0.090518	-0.054492	-0.046293	-0.029535
chr1	5885746	5907458	-0.059409	-0.032847	-0.027340	-0.013337
chr1	5899948	5917884	0.012064	0.008184	0.007089	0.006138
chr1	5907885	5923615	-0.055050	-0.049831	-0.042609	-0.027139
chr1	5918009	5946013	-0.046658	-0.038423	-0.032096	-0.015447
chr1	5924374	5955627	0.003144	0.002060	0.001759	0.000912
chr1	5946336	5965640	0.007922	0.005069	0.004320	0.002464
chr1	5955628	5985490	0.009018	0.003103	0.002680	0.001689
chr1	5965978	6172143	-0.009042	-0.001635	-0.001464	-0.002447
chr1	5985500	6206469	0.011516	0.002361	0.002091	0.004798
chr1	6173020	6244525	-0.048565	-0.014747	-0.012452	-0.019918
chr1	6206593	6287966	-0.103100	-0.042933	-0.035556	-0.030990
chr1	6244526	6461378	-0.062190	-0.014229	-0.012965	-0.020128
chr1	6289983	6512832	-0.020077	-0.004291	-0.003962	-0.009670
chr1	6461406	6543269	0.066035	0.021633	0.019968	0.048338
chr1	6513261	6557263	0.195192	0.088291	0.082200	0.183819
chr1	6544292	6584509	0.166095	0.086188	0.077655	0.121195
chr1	6558106	6610863	0.107023	0.066411	0.055866	0.046204
chr1	6586454	6627241	0.029512	0.013972	0.012334	0.012223
chr1	6611353	6649590	-0.036931	-0.014430	-0.013015	-0.021721
chr1	6627245	6691489	0.013902	0.004688	0.004094	0.004634
chr1	6651179	6711796	0.042382	0.016435	0.014128	0.027642
chr1	6693914	6727531	0.080188	0.043149	0.035318	0.031469
chr1	6711824	6744537	0.096615	0.032570	0.029421	0.038166
chr1	6727557	6859291	0.095829	0.026485	0.024683	0.069631
chr1	6744539	7001273	0.039766	0.012046	0.010992	0.025702
chr1	6860638	7071602	-0.019010	-0.007374	-0.006560	-0.007586
chr1	7005150	7098319	-0.051957	-0.023344	-0.019203	-0.018397
chr1	7071765	7131185	-0.077665	-0.026176	-0.022271	-0.032957
chr1	7102065	7296722	-0.025651	-0.007072	-0.006215	-0.011468
chr1	7131207	7320917	0.069805	0.024456	0.021478	0.013664
chr1	7296812	7340495	0.000645	0.000193	0.000177	-0.002714
chr1	7321109	7350183	0.148518	0.052851	0.040577	0.047150
chr1	7340988	7366991	0.199392	0.079146	0.061485	0.084444
chr1	7350814	7464984	0.043731	0.012844	0.011502	0.018960
chr1	7367782	7668990	0.017492	0.005677	0.005155	0.012683
chr1	7465826	7728301	0.025513	0.005057	0.004763	0.015859
chr1	7669206	7823061	0.021613	0.003895	0.003674	0.007197
chr1	7731010	7885603	0.042439	0.010028	0.009285	0.025853
chr1	7827006	7953034	0.150257	0.023878	0.021812	0.082363
chr1	7885668	8005734	0.202896	0.030870	0.028167	0.044671
chr1	7953179	8053421	0.000795	0.000141	0.000129	0.000130
chr1	8005746	8150774	-0.028792	-0.005669	-0.005032	-0.007000
chr1	8056176	8195857	-0.000013	-0.000002	-0.000002	0.000951
chr1	8151366	8213414	-0.014013	-0.002848	-0.002683	-0.001821
chr1	8195858	8246195	0.028562	0.012319	0.011006	0.008117
chr1	8213667	8271815	0.042798	0.023660	0.021561	0.016169
chr1	8248575	8285258	0.002171	0.001255	0.001127	0.001192
chr1	8271999	8321584	0.047750	0.012734	0.011644	0.018606
chr1	8286327	8365881	-0.082646	-0.016620	-0.014986	-0.033917
chr1	8327060	8543195	-0.087042	-0.015686	-0.014446	-0.051943
chr1	8365984	8569975	0.075786	0.012597	0.011825	0.038888
chr1	8545129	8597594	0.046573	0.014102	0.012626	0.021055
chr1	8570707	8676702	-0.044568	-0.009246	-0.008198	-0.021512
chr1	8600974	8802631	-0.050687	-0.006614	-0.006053	-0.031038
chr1	8676940	8855771	0.009480	0.001283	0.001195	0.005406
chr1	8804340	8886749	0.150811	0.028293	0.025288	0.043021
chr1	8855789	8919171	0.107311	0.031494	0.026308	0.028935
chr1	8887734	8939254	0.061879	0.015541	0.014172	0.021337
chr1	8919571	9039518	0.036217	0.004995	0.004642	0.011961
chr1	8939853	9134189	-0.006571	-0.000627	-0.000584	-0.001803
chr1	9039520	9150326	0.053971	0.006017	0.005572	0.020018
chr1	9134296	9171753	0.164781	0.034577	0.030119	0.055876
chr1	9151933	9259734	0.195738	0.044086	0.039172	0.048841
chr1	9171972	9331136	0.133615	0.031307	0.029014	0.023401
chr1	9262178	9352290	0.029327	0.014643	0.011917	0.004039
chr1	9331178	9364928	0.016163	0.005624	0.004509	0.004381
chr1	9352302	9403604	0.041952	0.018737	0.015473	0.014694
chr1	9365425	9418172	0.143491	0.047420	0.042405	0.028098
chr1	9403847	9480472	0.158330	0.050552	0.043063	0.017141
chr1	9418178	9499430	-0.035960	-0.006764	-0.005588	-0.007381
chr1	9480496	9525808	0.132767	0.016231	0.014226	0.012808
chr1	9499957	9570312	0.237092	0.042640	0.038438	0.029776
chr1	9525866	9619386	0.090917	0.012053	0.011350	0.008504
chr1	9593968	9730795	0.083391	0.009671	0.009253	0.013718
chr1	9621916	9896625	0.015271	0.002297	0.002151	0.006048
chr1	9730813	10016432	-0.072587	-0.007113	-0.006714	-0.037950
chr1	9898112	10161675	-0.062558	-0.003583	-0.003414	-0.027243
chr1	10016801	10187624	0.169703	0.010537	0.009803	0.023729
chr1	10164915	10203270	0.279073	0.068251	0.056002	0.028837
